StateID,PUMA,MSA,RentalRates_2017_19,ChangeInRentalRates,Share_15_24_2017_19,Change_15_24,Share_25_34_2017_19,Change_25_34,Share_35_44_2017_19,Change_35_44,Share_45_54_2017_19,Change_45_54,Share_55_64_2017_19,Change_55_64,Share_65_2017_19,Change_65,Share_less30_2017_19,Change_less30,Share_30_50_2017_19,Change_30_50,Share_50_80_2017_19,Change_50_80,Share_80_120_2017_19,Change_80_120,Share_120_200_2017_19,Change_120_200,Share_great200_2017_19,Change_great200,Share_bur_gre30_17_19,Change_bur_gre30,ONE_UNIT_2017_19,ChangeIn_oneUnit,UNIT_2_TO_4_2017_19,ChangeIn_2to4Unit,UNIT_5_TO_49_2017_19,ChangeIn_5to49Unit,UNIT_50over_2017_19,ChangeIn_over50Unit,pre1950_17_19,change_pre1950,post2000_17_19,change_post2000,vacant_rental_17_19,change_vacant_rental,unemployed_17_19,change_unemployed,noHS_17_19,change_noHS,bach_17_19,change_bach,Share_aff_17_19,Change_aff,Share_rent_lowInc_17_19,Change_rent_lowInc,Share_lowInc_unaff_17_19,Change_lowInc_unaff,mobile_share_2017_19,change_mobile_share,PopulationDensity2021,Subsidized_share,HCV_share,PBS8_share,PH_share,Share_1_Unit_perm_17_19,Share_2_Unit_perm_17_19,Share_3_4_Unit_perm17_19,Share_5more_Unit_perm17_19,fullMSA,outMSA,partMSA,MostInMSA
12,1105,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",0.373297041,-0.004503876,0.053214209,0.00649242,0.20479446,-0.043350449,0.245093703,-0.021615366,0.192359698,-0.00372341,0.157974549,0.005393323,0.146563381,0.056803482,0.198021053,0.034945312,0.155725172,-0.000142216,0.245675003,-0.003529958,0.162321661,-0.023717455,0.178699152,-0.00398755,0.059557959,-0.003568134,0.685988285,0.045084384,0.226078788,-0.056164991,0.167933031,0.024678226,0.431455784,-0.0330619,0.144829308,0.047691271,0.013534177,0.001953109,0.094650778,0.008932328,0.020637407,-0.011803026,0.0228097,-0.036884475,0.129743596,-0.016835086,0.233821541,0.03522081,0.115802878,-0.083860174,0.499065762,-0.037164438,0.845666027,0.152012731,0.009624543,0.00620293,6000.1,0.017749552,0.017023036,0.000726517,0,0.348842639,0.013474752,0.00957241,0.628110199,1,0,0,0
12,1106,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",0.325343098,-0.008185436,0.031271457,-0.022271725,0.281831209,0.002157055,0.252589784,0.034067165,0.191166373,-0.024983579,0.148192375,0.030808636,0.094948801,-0.019777551,0.109248589,-0.00970111,0.119503239,0.014394096,0.161357734,0.014711103,0.207675314,-0.003855847,0.265426755,-0.018961097,0.136788369,0.003412855,0.561375021,0.048058194,0.207861335,-0.061580004,0.089477276,0.014406332,0.441613211,-0.004011233,0.250388972,0.044968615,0.015807386,0.002164551,0.187389916,0.049854326,0.027368467,-0.002366351,0.023434934,-0.024572025,0.058960504,-0.016395396,0.372734872,0.013339111,0.054368159,-0.054039984,0.323221477,-0.028583315,0.887457616,0.102189724,0.003333758,0.00246704,5057.4,0.011347234,0.009791363,0.001555871,0,0.348842639,0.013474752,0.00957241,0.628110199,1,0,0,0
12,1107,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",0.528112578,0.046805297,0.037997141,-0.014804822,0.190623008,-0.055189631,0.236216132,0.029230831,0.209053172,-0.033160248,0.182200251,0.067728975,0.143910295,0.006194895,0.273920457,0.050326466,0.180253888,-0.012998077,0.220007923,-0.055442985,0.202835145,0.007672979,0.099350638,0.015181173,0.023631948,-0.004739556,0.679985659,-0.003874753,0.187391491,0.019118363,0.16345189,0.02092419,0.35235653,-0.018546993,0.286367329,-0.016776532,0.033415437,0.012745057,0.035430697,-0.012545495,0.035629203,-0.008868349,0.039047832,-0.047655162,0.18335429,0.012200328,0.118797044,0.004064372,0.231507438,-0.15385159,0.596123221,-0.067966526,0.711924112,0.171130766,0.005024458,5.62E-05,8782.6,0.058000596,0.04238887,0.015611726,0,0.348842639,0.013474752,0.00957241,0.628110199,1,0,0,0
12,1108,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",0.499300502,-0.009280982,0.034153947,-0.019027504,0.268475105,0.013970297,0.201116245,-0.039739331,0.186756448,-0.010500225,0.183152377,0.035134043,0.126345878,0.02016272,0.224774322,-0.016384571,0.143473693,-0.009847059,0.192529742,0.034827756,0.159189253,-0.019464023,0.144501813,-0.021232437,0.135531177,0.032100333,0.60996155,-0.002357637,0.22379805,-0.047968658,0.259188093,-0.020475256,0.308587753,0.021435333,0.203718954,0.057880738,0.055800974,0.006012172,0.262091717,0.096716953,0.043955161,0.003131258,0.058704568,-0.024359151,0.141089808,-0.04096735,0.33281739,0.027759872,0.251631098,-0.044412077,0.473566408,-0.061859689,0.587297617,0.032068857,0.001495671,-0.004338858,5424,0.041776689,0.02986236,0.011544398,0.000369931,0.348842639,0.013474752,0.00957241,0.628110199,1,0,0,0
12,1109,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",0.432627579,0.008171916,0.036417457,-0.017790817,0.184054217,-0.043959817,0.244639623,0.004808494,0.253013691,0.082099553,0.13227132,-0.028618529,0.149603692,0.003461116,0.181950963,-0.012886528,0.154589184,-0.016999666,0.26798964,0.04284795,0.165514421,-0.038094323,0.150635845,0.01258981,0.079319948,0.012542757,0.618482039,-0.041108728,0.267149848,0.006581029,0.251265812,0.007704481,0.372665233,0.022240465,0.087700879,-0.020505696,0.079300473,0.020639101,0.127480574,-0.019683709,0.053040317,0.002745272,0.036631677,-0.025249034,0.098327134,-0.030870537,0.233480691,0.021062138,0.211512049,-0.168520788,0.472373786,-0.096083018,0.704033948,0.223579062,0.00769549,-0.004685614,4865.1,0.018890877,0.012335874,0.004755394,0.00179961,0.348842639,0.013474752,0.00957241,0.628110199,1,0,0,0
12,1110,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",0.296950542,0.036366801,0.072759449,-0.002428055,0.300063203,-0.023404224,0.202679813,-0.017304071,0.249298445,0.050916247,0.107723423,0.016295914,0.067475667,-0.024075812,0.180558716,-0.019837987,0.114827455,-0.019028616,0.190039186,0.016326919,0.17843509,0.001065723,0.223081785,0.039854859,0.113057768,-0.018380898,0.624568,0.013297336,0.243061201,-0.05257646,0.059389153,-0.102817338,0.567227964,0.199853425,0.067425386,-0.043503481,0.015054987,0.007244908,0.303728985,0.091803119,0.024208888,0.006189695,0.016913159,-0.036765636,0.129718114,0.048115188,0.397547718,0.118523358,0.110162982,-0.059410418,0.384502375,-0.10862844,0.796102103,0.104186716,0.016741192,0.002757989,3259.9,0.008092832,0.003901365,0.004191467,0,0.348842639,0.013474752,0.00957241,0.628110199,1,0,0,0
12,1111,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",0.200857353,0.000925435,0.006180215,-0.016468765,0.107824152,-0.04644233,0.378929587,0.050875736,0.329776276,0.008532958,0.111944296,0.021110797,0.069465617,-0.013488253,0.041901858,-0.009771078,0.080301594,0.013463345,0.095669729,-0.033611601,0.181162704,0.005435126,0.30604425,0.032949814,0.294919863,-0.008465605,0.548460514,0.02211745,0.607797401,0.028079907,0.07775186,0.02661097,0.215076456,-0.080504855,0.076270873,0.00821582,0,-0.011641259,0.222034527,0.05751265,0.020413945,0.004364933,0.017551811,-0.028062919,0.016315768,-0.046582668,0.604795847,0.047124099,0.01008044,-0.025881988,0.172422434,-0.032548008,0.979989468,0.057248235,0.004852308,0.004207133,2947,0.005545912,0.005523367,2.25E-05,0,0.348842639,0.013474752,0.00957241,0.628110199,1,0,0,0
12,1112,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",0.28935369,0.031946851,0.066652098,0.038640812,0.255633256,-0.033118599,0.212485431,-0.075742848,0.201971639,0.003478373,0.092074592,-0.018661613,0.171182984,0.076066779,0.131458819,0.045941497,0.085979992,-0.050615022,0.216734654,0.043402097,0.237592269,0.041193304,0.209960179,-0.06887283,0.118274087,-0.011049046,0.565885556,-0.014392924,0.361843246,-0.015221407,0.062792613,0.022820928,0.431311774,-0.038036976,0.138026704,0.029225382,0.02287296,0.02287296,0.370119464,0.097627536,0.031884413,-0.020059339,0.028093434,-0.011000198,0.020444833,-0.048347162,0.26124223,-0.112125233,0.033953821,-0.086240049,0.300459604,-0.068500964,0.942588248,0.226614249,0.001808902,0.000518677,4378.5,0.008697451,0.008679463,1.80E-05,0,0.348842639,0.013474752,0.00957241,0.628110199,1,0,0,0
12,1113,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",0.439819699,0.065365067,0.024153779,-0.024958825,0.218675568,-0.032121585,0.241202321,-0.000670736,0.217333691,0.025876757,0.144603979,0.01058212,0.154030662,0.021292268,0.144972995,-0.045120257,0.18700728,0.021921548,0.254704955,0.079632259,0.179325036,-0.001322713,0.170300916,-0.018268221,0.063688819,-0.036842616,0.637189923,0.018503973,0.251082054,-0.000976243,0.166051604,0.00573455,0.364952086,-0.041951519,0.210427202,0.035927927,0.045187695,-0.002420848,0.117162602,-0.018042452,0.037460909,-0.014641543,0.032859204,-0.04246417,0.101865208,-0.004040738,0.231607904,-0.018848328,0.238557962,-0.075810128,0.458154502,-0.032699109,0.622260772,0.11083409,0.002702513,0.000497963,6866.9,0.010313261,0.008830954,0.000934302,0.000548004,0.348842639,0.013474752,0.00957241,0.628110199,1,0,0,0
12,1114,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",0.435915498,0.017501613,0.034657636,-0.004151184,0.240179477,-0.053225124,0.228833227,-0.00768486,0.1726521,-0.030478567,0.167529096,0.071165633,0.156148464,0.024374101,0.190221596,-0.059640006,0.158675583,0.014034942,0.261926456,0.060685642,0.240574877,0.082266201,0.108769276,-0.067178037,0.039832213,-0.030168741,0.688261801,0.022873279,0.292307205,-0.014276329,0.170433294,0.016800004,0.291594028,-0.048178639,0.213667628,0.029367227,0.017973491,-0.015910254,0.176898348,0.020804046,0.028471087,5.06E-05,0.039436813,-0.046198387,0.145455483,-0.009646168,0.192439272,-0.029780829,0.166240762,-0.075113968,0.491622601,-0.081129337,0.763853432,0.105632043,0.010889428,0.006305291,8344.4,0.022546932,0.02047082,0.002076112,0,0.348842639,0.013474752,0.00957241,0.628110199,1,0,0,0
